gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000007312,CD79B,3,0.30755152978392053,1.3420166562158027,0.6057441253263708,0.507725154772593,0.22968503742740964,6.570468946568137e-184,2.63273434313828e-178,B
ENSG00000104921,FCER2,3,0.3656205182514403,0.8851141211938257,0.5300261096605744,0.6898160516763628,0.24989297383134346,4.5808824248112705e-200,1.8355229405624776e-194,B
ENSG00000012124,CD22,3,0.295388283902813,0.6199122972161216,0.4495213228894691,0.6571174021381068,0.2034231820507118,6.001036347238215e-163,2.4045672560475747e-157,B
ENSG00000105369,CD79A,3,0.5229505900758553,5.761968463051189,0.9460400348128808,0.5527784986174404,0.6871657255620377,0,0,B
ENSG00000104894,CD37,3,0.3294967353866792,8.609478390303382,0.9730200174064404,0.3386330491585817,0.43748296272759074,0,0,B
ENSG00000128218,VPREB3,3,0.2815099176186819,0.5008396555814993,0.3907745865970409,0.72038952192397665,0.18542905461465767,1.3087437518483577e-148,5.244031514156221e-143,B
ENSG00000159958,TNFRSF13C,3,0.2975066934914168,0.5301605011248419,0.43777197563098347,0.6795928246951052,0.2036432274615116,4.0065194786285316e-163,1.6053803029306235e-157,B
ENSG00000188290,HES4,4,0.41730696253596095,0.7442772760095705,0.673866090712743,0.6192728322248395,0.41427235559494,2.083972659258112e-156,8.350311727834514e-151,CD16+ Mono
ENSG00000163191,S100A11,4,0.4232238112436802,8.486394865127478,0.9978401727861771,0.424139880099186,0.7267480904673015,2.1271386140909068e-274,8.523274255573137e-269,CD16+ Mono
ENSG00000203747,FCGR3A,4,0.6241282671364252,4.346563483522509,0.9352051835853131,0.6673704103560391,0.690802564851284,9.304736970228723e-261,3.728333666074888e-255,CD16+ Mono
ENSG00000182578,CSF1R,4,0.5148916010946776,1.1112559475849983,0.7991360691144709,0.6443103008292858,0.5487263761984523,5.134349089605476e-207,2.0572926054121973e-201,CD16+ Mono
